datetime,Generated Energy (W),hour_sin,hour_cos,day_of_year_sin,day_of_year_cos
2009-01-01 00:30:00,0.0,0.0,1.0,0.017201575418260506,0.9998520419557735
2009-01-01 01:30:00,0.0,0.25881904510252074,0.9659258262890683,0.017201575418260506,0.9998520419557735
2009-01-01 02:30:00,0.0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735
2009-01-01 03:30:00,0.0,0.7071067811865475,0.7071067811865476,0.017201575418260506,0.9998520419557735
2009-01-01 04:30:00,0.0,0.8660254037844386,0.5000000000000001,0.017201575418260506,0.9998520419557735
2009-01-01 05:30:00,0.0,0.9659258262890683,0.25881904510252074,0.017201575418260506,0.9998520419557735
2009-01-01 06:30:00,0.0,1.0,6.123233995736766e-17,0.017201575418260506,0.9998520419557735
2009-01-01 07:30:00,0.0,0.9659258262890683,-0.25881904510252063,0.017201575418260506,0.9998520419557735
2009-01-01 08:30:00,0.0,0.8660254037844387,-0.4999999999999998,0.017201575418260506,0.9998520419557735
2009-01-01 09:30:00,0.0,0.7071067811865476,-0.7071067811865475,0.017201575418260506,0.9998520419557735
2009-01-01 10:30:00,0.0,0.49999999999999994,-0.8660254037844387,0.017201575418260506,0.9998520419557735
2009-01-01 11:30:00,0.0,0.258819045102521,-0.9659258262890682,0.017201575418260506,0.9998520419557735
2009-01-01 12:30:00,772729.5987798602,1.2246467991473532e-16,-1.0,0.017201575418260506,0.9998520419557735
2009-01-01 13:30:00,3266029.1099220165,-0.2588190451025208,-0.9659258262890683,0.017201575418260506,0.9998520419557735
2009-01-01 14:30:00,5063126.380612524,-0.4999999999999997,-0.8660254037844388,0.017201575418260506,0.9998520419557735
2009-01-01 15:30:00,6133908.318635391,-0.7071067811865471,-0.7071067811865479,0.017201575418260506,0.9998520419557735
2009-01-01 16:30:00,6702660.644360211,-0.8660254037844384,-0.5000000000000004,0.017201575418260506,0.9998520419557735
2009-01-01 17:30:00,6679500.694890173,-0.9659258262890683,-0.25881904510252063,0.017201575418260506,0.9998520419557735
2009-01-01 18:30:00,6021803.652312073,-1.0,-1.8369701987210297e-16,0.017201575418260506,0.9998520419557735
2009-01-01 19:30:00,4870070.101344986,-0.9659258262890684,0.2588190451025203,0.017201575418260506,0.9998520419557735
2009-01-01 20:30:00,3126719.5974239763,-0.8660254037844386,0.5000000000000001,0.017201575418260506,0.9998520419557735
2009-01-01 21:30:00,773120.42528887,-0.7071067811865477,0.7071067811865474,0.017201575418260506,0.9998520419557735
2009-01-01 22:30:00,0.0,-0.5000000000000004,0.8660254037844384,0.017201575418260506,0.9998520419557735
2009-01-01 23:30:00,0.0,-0.25881904510252157,0.9659258262890681,0.017201575418260506,0.9998520419557735
2009-01-02 00:30:00,0.0,0.0,1.0,0.03439806061360801,0.9994082116062598
